         table_name         |      column_name       |          data_type          
 test_definition            | annotationTagId        | character varying
 test_definition            | createdAt              | timestamp with time zone
 test_definition            | updatedAt              | timestamp with time zone
 test_definition            | description            | text
 test_definition            | id                     | character varying
 test_definition            | mockedNodes            | json
 test_metric                | id                     | character varying
 test_metric                | name                   | character varying
 test_metric                | testDefinitionId       | character varying
 test_metric                | createdAt              | timestamp with time zone
 test_metric                | updatedAt              | timestamp with time zone
 test_run                   | id                     | character varying
 test_run                   | testDefinitionId       | character varying
 test_run                   | status                 | character varying
 test_run                   | runAt                  | timestamp with time zone
 test_run                   | completedAt            | timestamp with time zone
 test_run                   | metrics                | json
 test_run                   | createdAt              | timestamp with time zone
 test_run                   | updatedAt              | timestamp with time zone
 test_run                   | totalCases             | integer
 test_run                   | passedCases            | integer
 test_run                   | failedCases            | integer
 test_run                   | errorCode              | character varying
 test_run                   | errorDetails           | text
 user                       | id                     | uuid
 user                       | email                  | character varying
 user                       | firstName              | character varying
 user                       | lastName               | character varying
 user                       | password               | character varying
 user                       | personalizationAnswers | json
 user                       | createdAt              | timestamp with time zone
 user                       | updatedAt              | timestamp with time zone
 user                       | settings               | json
 user                       | disabled               | boolean
 user                       | mfaEnabled             | boolean
 user                       | mfaSecret              | text
 user                       | mfaRecoveryCodes       | text
 user                       | role                   | text
 user_api_keys              | id                     | character varying
 user_api_keys              | userId                 | uuid
 user_api_keys              | label                  | character varying
 user_api_keys              | apiKey                 | character varying
 user_api_keys              | createdAt              | timestamp with time zone
 user_api_keys              | updatedAt              | timestamp with time zone
 variables                  | key                    | character varying
 variables                  | type                   | character varying
 variables                  | value                  | character varying
 variables                  | id                     | character varying
 webhook_entity             | webhookPath            | character varying
 webhook_entity             | method                 | character varying
 webhook_entity             | node                   | character varying
 webhook_entity             | webhookId              | character varying
 webhook_entity             | pathLength             | integer
 webhook_entity             | workflowId             | character varying
 workflow_entity            | name                   | character varying
 workflow_entity            | active                 | boolean
 workflow_entity            | nodes                  | json
 workflow_entity            | connections            | json
 workflow_entity            | createdAt              | timestamp with time zone
 workflow_entity            | updatedAt              | timestamp with time zone
 workflow_entity            | settings               | json
 workflow_entity            | staticData             | json
 workflow_entity            | pinData                | json
 workflow_entity            | versionId              | character
 workflow_entity            | triggerCount           | integer
 workflow_entity            | id                     | character varying
 workflow_entity            | meta                   | json
 workflow_entity            | parentFolderId         | character varying
 workflow_history           | versionId              | character varying
 workflow_history           | workflowId             | character varying
 workflow_history           | authors                | character varying
 workflow_history           | createdAt              | timestamp with time zone
 workflow_history           | updatedAt              | timestamp with time zone
 workflow_history           | nodes                  | json
 workflow_history           | connections            | json
 workflow_statistics        | count                  | integer
 workflow_statistics        | latestEvent            | timestamp with time zone
 workflow_statistics        | name                   | character varying
 workflow_statistics        | workflowId             | character varying
 workflows_tags             | workflowId             | character varying
 workflows_tags             | tagId                  | character varying
(253 rows)

